S1,S2,S3,S4,S5,S6
3,4,6,1,5,2
3,4,5,1,6,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,5,1,6,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,5,1,6,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,5,1,6,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,5,1,6,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,5,1,6,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,5,1,6,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,5,1,6,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,5,1,6,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
3,4,6,1,5,2
